sample,organ,part,question1,answer1,question2,answer2
BDMAP_00004457,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00002407,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00001045,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00001230,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00003411,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00001396,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00000233,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00000003,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00003976,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00001483,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00001647,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00000320,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00001636,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00000219,kidneys,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys usually present within this image limits? Answer Yes or No.","No, the kidneys are not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_00005028,pancreas,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the pancreas usually present within this image limits? Answer Yes or No.","No, the pancreas is not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is pancreas? Answer yes or no.,"Yes, the red overlay in the image is likely representing the pancreas."
BDMAP_00001045,pancreas,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the pancreas usually present within this image limits? Answer Yes or No.","No, the pancreas is not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is pancreas? Answer yes or no.,"Yes, the red overlay in the image represents the pancreas."
BDMAP_00004236,pancreas,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the pancreas usually present within this image limits? Answer Yes or No.","No, the pancreas is not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is pancreas? Answer yes or no.,"Yes, the red overlay in the image represents the pancreas."
BDMAP_00001045,gall_bladder,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder usually present within this image limits? Answer Yes or No.","No, the gall_bladder is not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_00003935,gall_bladder,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder usually present within this image limits? Answer Yes or No.","No, the gall_bladder is not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_00001045,postcava,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the postcava usually present within this image limits? Answer Yes or No.","Yes, the postcava is usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is postcava? Answer yes or no.,"Yes, the red overlay in the image represents the postcava, which is a large vein that carries deoxygenated blood from the lower and middle body back to the heart."
BDMAP_00000320,postcava,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the postcava usually present within this image limits? Answer Yes or No.","Yes, the postcava is usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is postcava? Answer yes or no.,"Yes, the red overlay in the image represents the postcava, which is a large vein that carries deoxygenated blood from the lower and middle body back to the heart."
BDMAP_00001396,postcava,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the postcava usually present within this image limits? Answer Yes or No.","Yes, the postcava is usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is postcava? Answer yes or no.,"Yes, the red overlay in the image represents the postcava."
BDMAP_00001636,postcava,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the postcava usually present within this image limits? Answer Yes or No.","Yes, the postcava is usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is postcava? Answer yes or no.,"Yes, the red overlay in the image represents the postcava, which is a large vein that carries deoxygenated blood from the lower and middle body back to the heart."
BDMAP_00004737,postcava,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the postcava usually present within this image limits? Answer Yes or No.","Yes, the postcava is usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is postcava? Answer yes or no.,"Yes, the red overlay in the image represents the postcava."
BDMAP_00004236,postcava,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the postcava usually present within this image limits? Answer Yes or No.","Yes, the postcava is usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is postcava? Answer yes or no.,"Yes, the red overlay in the image represents the postcava."
BDMAP_00004236,stomach,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the stomach usually present within this image limits? Answer Yes or No.","No, the stomach is not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is stomach? Answer yes or no.,"Yes, the red overlay in the image represents the stomach."
BDMAP_00002748,stomach,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the stomach usually present within this image limits? Answer Yes or No.","No, the stomach is not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is stomach? Answer yes or no.,"Yes, the red overlay in the image represents the stomach."
BDMAP_00003236,spleen,errors_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the spleen usually present within this image limits? Answer Yes or No.","No, the spleen is not usually present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is spleen? Answer yes or no.,"Yes, the red overlay in the image is likely representing the spleen."
