sample,organ,part,question1,answer1,question2,answer2
BDMAP_00000365,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is correct."
BDMAP_00000477,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the kidneys are visible in the bone ct image.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is accurate."
BDMAP_00002393,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, it is kidneys."
BDMAP_00004371,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is identified as  [SEG] ."
BDMAP_00002556,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the description is kidneys."
BDMAP_00003228,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is correct."
BDMAP_00003263,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is accurate."
BDMAP_00001473,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is correct."
BDMAP_00003668,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the kidneys are present in the bone ct image.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the bounding box is given as ."
BDMAP_00004165,kidneys,good_labels_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the target is identified as kidneys."
