sample,organ,part,question1,answer1,question2,answer2
BDMAP_V0000226,kidneys,errors_nnUnet_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the description is kidneys."
BDMAP_A0000316,kidneys,errors_nnUnet_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Sure, it's Describing attributes of the kidneys, such as size and density."
BDMAP_V0000104,kidneys,errors_nnUnet_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the description is kidneys."
BDMAP_A0000392,kidneys,errors_nnUnet_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Sure, it is kidneys."
BDMAP_A0000182,postcava,errors_nnUnet_full,Does the bone ct image contain the postcava? Answer yes or no.,No,The lowest intensity white area within the body in this bone ct imageis the postcava mask annotation. What do you think of this? Is it correct? Only answer yes or no.,Yes.
BDMAP_V0000035,kidneys,errors_nnUnet_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is accurate."
BDMAP_A0002538,gall_bladder,errors_nnUnet_full,Does the bone ct image contain the gall_bladder? Answer yes or no.,"Yes, it contains the gallbladder.",The lowest intensity white area within the body in this bone ct imageis the gall_bladder mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the gallbladder is visible within the bounding box."
BDMAP_A0002144,postcava,errors_nnUnet_full,Does the bone ct image contain the postcava? Answer yes or no.,"Yes, the postcava is present in the bone ct image.",The lowest intensity white area within the body in this bone ct imageis the postcava mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the postcava mask is correct."
BDMAP_V0001845,stomach,errors_nnUnet_full,Does the bone ct image contain the stomach? Answer yes or no.,"Yes, the stomach is present in the bone ct image.",The lowest intensity white area within the body in this bone ct imageis the stomach mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Sure, it is indeed stomach."
BDMAP_A0002203,postcava,errors_nnUnet_full,Does the bone ct image contain the postcava? Answer yes or no.,"Yes, it contains the postcava.",The lowest intensity white area within the body in this bone ct imageis the postcava mask annotation. What do you think of this? Is it correct? Only answer yes or no.,Yes.
BDMAP_V0000230,kidneys,errors_nnUnet_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys is identified as thelowest intensity white area."
