sample,organ,part,question1,answer1,question2,answer2
BDMAP_V0000226,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0000316,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_V0000104,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0000392,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_V0000035,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_V0000230,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0002373,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_V0000392,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0000226,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0001962,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_V0001962,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0000230,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0000035,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0002125,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0000057,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_V0000316,kidneys,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the kidneys present within this image limits? Answer Yes or No.","No, the kidneys are not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is kidneys? Answer yes or no.,"Yes, the red overlay in the image represents the kidneys."
BDMAP_A0002538,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image is likely representing the gall_bladder."
BDMAP_V0000499,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within these image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0000297,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_V0000208,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0001941,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0002135,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0000926,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0000581,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0001914,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_V0001914,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0002460,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0001881,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0000186,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0000198,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0002165,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0001597,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within this image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_A0002446,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
BDMAP_V0000466,gall_bladder,errors_nnUnet_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Is the gall_bladder present within this image limits? Answer Yes or No.","No, the gall_bladder is not present within the image limits.",The image is a frontal projection of a CT scan. The left side of the image represents the right side of the human body. Do you think the red overlay in the image is gall_bladder? Answer yes or no.,"Yes, the red overlay in the image represents the gall_bladder."
