sample,organ,part,question1,answer1,question2,answer2
BDMAP_00000365,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1:
- Bones on top: Yes
- Bones on bottom: Yes

Q2:
- skull = No
- neck = Yes
- trachea = Yes
- ribs = Yes
- lumbar spine = Yes
- pelvis = Yes
- femurs = Yes

Q3:
- Organs usually contained within this image limits:
  - Heart
  - Lungs
  - Liver
  - Stomach
  - Pancreas
  - Kidneys
  - Adrenal glands
  - Spleen

Q4:
- Kidneys = Yes","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the left side of the image, which corresponds to the right side of the human body, and they are shaped roughly like kidneys. The kidneys are typically located on either side of the spine, and the red overlay seems to be in the correct position relative to the spine.

2. Annotation = Good"
BDMAP_00000477,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1:
- Bones on top: skull, neck, trachea, ribs, lumbar spine, pelvis, femurs
- Bones on bottom: hip bones, femurs

Q2:
- skull = Yes
- neck = Yes
- trachea = Yes
- ribs = Yes
- lumbar spine = Yes
- pelvis = Yes
- femurs = Yes

Q3:
- Organs usually contained within this image limits:
  - Heart
  - Lungs
  - Liver
  - Stomach
  - Pancreas
  - Kidneys
  - Adrenal glands
  - Spleen
  - Small intestine
  - Large intestine
  - Bladder
  - Uterus and ovaries (in females)

Q4:
- Kidneys = Yes","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the lower back, which is consistent with the expected shape and location of the kidneys. The kidneys are typically bean-shaped organs located on either side of the spine, just above the waist. In this image, the red overlay is placed in the lower back area, which aligns with the typical position of the kidneys.

2. Annotation = Good"
BDMAP_00002393,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1:
- Bones on top: Yes
- Bones on bottom: Yes

Q2:
- skull = No
- neck = No
- trachea = No
- ribs = Yes
- lumbar spine = Yes
- pelvis = Yes
- femurs = Yes

Q3:
- Kidneys = No
- Liver = No
- Stomach = No
- Small intestine = No
- Large intestine = No
- Pancreas = No
- Spleen = No
- Heart = No
- Lungs = No

Q4:
- Kidneys = No","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the left side of the image, which corresponds to the right side of the human body, and they are shaped roughly like kidneys. The kidneys are typically located on either side of the spine, and the red overlay seems to be in the correct position relative to the spine.

2. Annotation = Good"
BDMAP_00004371,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1: The bones on the top of the image are the skull and the neck vertebrae. The bones on the bottom of the image are the ribs and the pelvis.

Q2: Yes, the trachea is present in the image.

Q3: The organs usually contained within the image limits are the lungs, heart, liver, spleen, kidneys, and the stomach.

Q4: Yes, the kidneys are usually present within the image limits.","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the lower back area, which is consistent with the expected shape and location of the kidneys. The kidneys are typically bean-shaped organs located on either side of the spine, just above the waist.

2. Annotation = Good"
BDMAP_00002556,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1:
- Bones on top: Yes
- Bones on bottom: Yes

Q2:
- skull = No
- neck = No
- trachea = No
- ribs = Yes
- lumbar spine = Yes
- pelvis = Yes
- femurs = Yes

Q3:
- Kidneys = Yes
- Adrenal glands = Yes
- Liver = Yes
- Pancreas = Yes
- Stomach = Yes
- Small intestine = Yes
- Large intestine = Yes
- Cecum = Yes
- Appendix = Yes
- Ovaries = Yes
- Testes = Yes
- Uterus = Yes
- Bladder = Yes
- Rectum = Yes
- Sigmoid colon = Yes
- Cervix = Yes
- Vagina = Yes
- Prostate gland = Yes
- Seminal vesicles = Yes
- Bulbourethral glands = Yes

Q4:
- Kidneys = Yes","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the left side of the image, which corresponds to the right side of the human body, and they are shaped roughly like kidneys. The kidneys are typically located on either side of the spine, and the red overlay seems to be in the correct position relative to the spine.

2. Annotation = Good"
BDMAP_00003228,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1: The bones on the top of the image are the skull and the neck vertebrae. The bones on the bottom are the ribs and the pelvis.

Q2: Yes, the image shows the skull, neck, trachea, ribs, lumbar spine, and pelvis.

Q3: The organs usually contained within the image limits are the lungs, heart, liver, spleen, kidneys, and stomach.

Q4: No, the kidneys are not usually present within the image limits shown in the CT scan.","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the lower back, which is consistent with the expected shape and location of the kidneys. The kidneys are typically bean-shaped organs located on either side of the spine, just above the waist. In this image, the red overlay is placed in the lower back area, which aligns with the typical position of the kidneys.

2. Annotation = Good"
BDMAP_00003263,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1: The bones on the top of the image are the skull and the neck. The bones on the bottom are the ribs, the lumbar spine, the pelvis, and the femurs.

Q2: Yes, the image shows the skull, neck, trachea, ribs, lumbar spine, pelvis, and femurs.

Q3: The organs usually contained within the image limits are the lungs, heart, liver, spleen, stomach, pancreas, kidneys, and adrenal glands.

Q4: Yes, the kidneys are usually present within the image limits.","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the lower back, which is the typical location for the kidneys in the human body. The shape of the red regions also resembles the expected shape of kidneys, which are bean-shaped organs.

2. Annotation = Good"
BDMAP_00001473,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1:
- Bones on top: Yes
- Bones on bottom: Yes

Q2:
- skull = No
- neck = No
- trachea = No
- ribs = Yes
- lumbar spine = Yes
- pelvis = Yes
- femurs = Yes

Q3:
- Kidneys = No
- Liver = No
- Stomach = No
- Small intestine = No
- Large intestine = No
- Pancreas = No
- Spleen = No
- Heart = No
- Lungs = No

Q4:
- Kidneys = No","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the left side of the image, which corresponds to the right side of the human body, and they are shaped roughly like kidneys. The kidneys are typically located on either side of the spine, and the red overlay seems to be in the correct position relative to the spine.

2. Annotation = Good"
BDMAP_00003668,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1: The bones on the top of the image are the skull and the neck vertebrae. The bones on the bottom of the image are the ribs, the lumbar spine, the pelvis, and the femurs.

Q2: Yes, the image shows the skull, neck, trachea, ribs, lumbar spine, pelvis, and femurs.

Q3: The organs usually contained within the image limits are the kidneys, liver, spleen, stomach, small intestine, large intestine, pancreas, and the heart.

Q4: No, the kidneys are not usually present within the image limits shown in the CT scan.","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the lower back, which is the typical location for the kidneys in the human body. The shape of the red regions also resembles the expected shape of kidneys, which are bean-shaped organs.

2. Annotation = Good"
BDMAP_00004165,kidneys,good_labels_beta_full,"The image I am sending is frontal projections of one CT scan, focusing on showing the bone. Look at it carefully, and answer the questions below:

Q1- Which bones are on the top of the image? Bones are on its bottom?
Q2- Which of the following landmarks are present in the image? Answer ‘yes’ or ‘no’ using the template below, substituting _ by Yes or No:
skull = _ neck = _ trachea = _ribs = _ lumbar spine = _ pelvis = _ femurs = _ 
Q3- Considering these landmarks and the bones on the image top and bottom, give me a complete list of all organs (not bones) usually contained within this image limits (just list their names).
Q4- Based on your answer to Q3, is the kidneys usually present within this image limits? Answer ‘yes’ or ‘no’ using the template below, substituting  _ by Yes or No:
Q4 = _","Q1: The bones on the top of the image are the skull and the neck. The bones on the bottom of the image are the ribs and the lumbar spine.

Q2: Yes, the trachea is present in the image.

Q3: The organs usually contained within the image limits are the lungs, heart, liver, spleen, kidneys, and the gastrointestinal tract.

Q4: Yes, the kidneys are usually present within the image limits.","The image I am sending is a frontal projection of a CT scan. It is not a CT slice, we have transparency and can see through the entire body, like a X-ray. The left side of the image represents the right side of the human body. The kidneys region in the image should be marked in red, using an overlay. However, I am not sure if the red overlay correctly or incorrectly marks the kidneys. Please following these instructions:

1. Check if the red region is coherent with the expected shape and location of a kidneys.Show your reasoning in the answer.
2. After checking, you should give an final judge in the end of your answer, substituting _ by Good or Bad:
Annotation = _","1. The red overlay in the image appears to mark the kidneys correctly. The red regions are located on the left side of the image, which corresponds to the right side of the human body, and they are shaped roughly like kidneys. The red markings are also positioned in the lower abdominal region, which is where the kidneys are typically located in the human body.

2. Annotation = Good"
