sample,organ,part,question1,answer1,question2,answer2
BDMAP_00004457,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is identified as  [SEG] ."
BDMAP_00002407,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is correct."
BDMAP_00001045,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is correct."
BDMAP_00001230,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is correct."
BDMAP_00003411,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is identified as  [SEG] ."
BDMAP_00001396,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Sure, it is kidneys."
BDMAP_00000233,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,Yes,The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is identified as  [SEG] ."
BDMAP_00000003,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,The target is kidneys and the segmentation mask is  [SEG] .
BDMAP_00003976,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is correct."
BDMAP_00001483,kidneys,errors_beta_full,Does the bone ct image contain the kidneys? Answer yes or no.,"Yes, the bone ct image contains the kidneys.",The lowest intensity white area within the body in this bone ct imageis the kidneys mask annotation. What do you think of this? Is it correct? Only answer yes or no.,"Yes, the kidneys mask is accurate."
